booking_id,date_key,arrival_date,channel_key,segment_key,hotel_key,country,booking_status,is_canceled,lead_time,total_nights,total_guests,adults,children,babies,meal,customer_type,deposit_type,reserved_room_type,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,agent_present,company_present,adr_clean,gross_booking_value,realized_revenue,required_car_parking_spaces,total_of_special_requests,valid_for_ml,invalid_guest_flag,adr_invalid_flag,children_missing_flag
B0000001,20150701,2015-07-01,2,4,2,PRT,Stayed,0,342,0,2.0,2,0.0,0,BB,Transient,No Deposit,C,0,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0
B0000002,20150701,2015-07-01,2,4,2,PRT,Stayed,0,737,0,2.0,2,0.0,0,BB,Transient,No Deposit,C,0,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0
B0000003,20150701,2015-07-01,2,4,2,GBR,Stayed,0,7,1,1.0,1,0.0,0,BB,Transient,No Deposit,A,0,0,0,0,0,75.0,75.0,75.0,0,0,1,0,0,0
B0000004,20150701,2015-07-01,1,3,2,GBR,Stayed,0,13,1,1.0,1,0.0,0,BB,Transient,No Deposit,A,0,0,0,1,0,75.0,75.0,75.0,0,0,1,0,0,0
B0000005,20150701,2015-07-01,4,7,2,GBR,Stayed,0,14,2,2.0,2,0.0,0,BB,Transient,No Deposit,A,0,0,0,1,0,98.0,196.0,196.0,0,1,1,0,0,0
B0000006,20150701,2015-07-01,4,7,2,GBR,Stayed,0,14,2,2.0,2,0.0,0,BB,Transient,No Deposit,A,0,0,0,1,0,98.0,196.0,196.0,0,1,1,0,0,0
B0000007,20150701,2015-07-01,2,4,2,PRT,Stayed,0,0,2,2.0,2,0.0,0,BB,Transient,No Deposit,C,0,0,0,0,0,107.0,214.0,214.0,0,0,1,0,0,0
B0000008,20150701,2015-07-01,2,4,2,PRT,Stayed,0,9,2,2.0,2,0.0,0,FB,Transient,No Deposit,C,0,0,0,1,0,103.0,206.0,206.0,0,1,1,0,0,0
B0000009,20150701,2015-07-01,4,7,2,PRT,Cancelled,1,85,3,2.0,2,0.0,0,BB,Transient,No Deposit,A,0,0,0,1,0,82.0,246.0,0.0,0,1,1,0,0,0
B0000010,20150701,2015-07-01,4,6,2,PRT,Cancelled,1,75,3,2.0,2,0.0,0,HB,Transient,No Deposit,D,0,0,0,1,0,105.5,316.5,0.0,0,0,1,0,0,0
B0000011,20150701,2015-07-01,4,7,2,PRT,Cancelled,1,23,4,2.0,2,0.0,0,BB,Transient,No Deposit,E,0,0,0,1,0,123.0,492.0,0.0,0,0,1,0,0,0
