campaign_id,date_key,campaign_month,campaign_name,channel,target_segment,sent,delivered,opened,clicks,leads,bookings,spend_myr,attributed_revenue_myr,data_type
C0001,20160101,2016-01-01,WhatsApp API Jan 2016 Demand Push,WhatsApp API,General Market,10913,10549,7371,1262,228,31,9631.23,138985.99,SYNTHETIC - portfolio demonstration only
C0002,20160101,2016-01-01,Email Jan 2016 Demand Push,Email,Families,17480,16748,6062,723,181,27,5904.17,95316.55,SYNTHETIC - portfolio demonstration only
C0003,20160101,2016-01-01,Google Search Jan 2016 Demand Push,Google Search,Repeat Customers,10958,10819,9109,1634,484,81,76709.67,414079.62,SYNTHETIC - portfolio demonstration only
C0004,20160101,2016-01-01,Facebook/Instagram Jan 2016 Demand Push,Facebook/Instagram,General Market,20031,19774,11336,1069,265,36,39956.86,159634.31,SYNTHETIC - portfolio demonstration only
C0005,20160101,2016-01-01,Affiliate Jan 2016 Demand Push,Affiliate,Young Professionals,15895,15712,11868,1822,506,93,35500.93,267907.71,SYNTHETIC - portfolio demonstration only
C0006,20160201,2016-02-01,WhatsApp API Feb 2016 Demand Push,WhatsApp API,Young Professionals,43433,42535,28216,4593,1021,167,46053.01,709330.25,SYNTHETIC - portfolio demonstration only
C0007,20160201,2016-02-01,Email Feb 2016 Demand Push,Email,Families,40431,39037,13554,1593,351,43,9253.91,153800.14,SYNTHETIC - portfolio demonstration only
C0008,20160201,2016-02-01,Google Search Feb 2016 Demand Push,Google Search,Families,18220,18220,14546,2787,742,129,89934.5,529435.99,SYNTHETIC - portfolio demonstration only
C0009,20160201,2016-02-01,Facebook/Instagram Feb 2016 Demand Push,Facebook/Instagram,Repeat Customers,19709,19636,10824,914,235,29,38041.55,138046.07,SYNTHETIC - portfolio demonstration only
C0010,20160201,2016-02-01,Affiliate Feb 2016 Demand Push,Affiliate,Families,40121,40079,29801,4419,1199,243,151166.48,1018884.57,SYNTHETIC - portfolio demonstration only
C0011,20160301,2016-03-01,WhatsApp API Mar 2016 Demand Push,WhatsApp API,General Market,36288,35188,23608,3669,719,121,21617.03,324741.66,SYNTHETIC - portfolio demonstration only
C0012,20160301,2016-03-01,Email Mar 2016 Demand Push,Email,Families,54554,52839,18844,2050,495,63,13915.51,206982.58,SYNTHETIC - portfolio demonstration only
C0013,20160301,2016-03-01,Google Search Mar 2016 Demand Push,Google Search,Families,33642,33205,27559,4661,1363,277,209886.81,1256542.0,SYNTHETIC - portfolio demonstration only
C0014,20160301,2016-03-01,Facebook/Instagram Mar 2016 Demand Push,Facebook/Instagram,Young Professionals,49320,48745,26139,2246,576,56,40418.53,174600.71,SYNTHETIC - portfolio demonstration only
C0015,20160301,2016-03-01,Affiliate Mar 2016 Demand Push,Affiliate,Families,40817,40140,29775,3979,1132,226,131376.1,893218.42,SYNTHETIC - portfolio demonstration only
C0016,20160401,2016-04-01,WhatsApp API Apr 2016 Demand Push,WhatsApp API,Families,48456,47314,32433,5718,1353,225,43918.12,564797.0,SYNTHETIC - portfolio demonstration only
C0017,20160401,2016-04-01,Email Apr 2016 Demand Push,Email,Families,54872,52544,17352,1622,426,53,17019.17,269010.91,SYNTHETIC - portfolio demonstration only
C0018,20160401,2016-04-01,Google Search Apr 2016 Demand Push,Google Search,General Market,42160,42160,36675,7883,2430,394,251284.57,1426464.47,SYNTHETIC - portfolio demonstration only
C0019,20160401,2016-04-01,Facebook/Instagram Apr 2016 Demand Push,Facebook/Instagram,Young Professionals,61116,60301,32845,2900,757,100,71254.09,262074.73,SYNTHETIC - portfolio demonstration only
C0020,20160401,2016-04-01,Affiliate Apr 2016 Demand Push,Affiliate,Families,36262,35939,26546,4279,1209,263,216721.03,1301333.35,SYNTHETIC - portfolio demonstration only
C0021,20160501,2016-05-01,WhatsApp API May 2016 Demand Push,WhatsApp API,Families,32150,31159,22846,3430,812,116,37393.25,586808.99,SYNTHETIC - portfolio demonstration only
C0022,20160501,2016-05-01,Email May 2016 Demand Push,Email,Repeat Customers,46697,45047,14578,1681,404,43,12116.64,222616.45,SYNTHETIC - portfolio demonstration only
C0023,20160501,2016-05-01,Google Search May 2016 Demand Push,Google Search,Repeat Customers,26658,26558,21698,3980,1297,238,159871.92,996026.14,SYNTHETIC - portfolio demonstration only
C0024,20160501,2016-05-01,Facebook/Instagram May 2016 Demand Push,Facebook/Instagram,Families,56677,56677,31998,2409,512,81,92507.19,380160.38,SYNTHETIC - portfolio demonstration only
C0025,20160501,2016-05-01,Affiliate May 2016 Demand Push,Affiliate,Families,51410,51410,36620,4733,1386,267,144038.43,988493.69,SYNTHETIC - portfolio demonstration only
C0026,20160601,2016-06-01,WhatsApp API Jun 2016 Demand Push,WhatsApp API,Families,53307,52574,35869,6016,1076,171,57187.95,732356.63,SYNTHETIC - portfolio demonstration only
